OBJECTID,top_height_m,base_height_m,storeys,building_height_m
33844,51.1,44.1,2.0,7.0
33847,47.8,41.4,2.0,6.399999999999999
33848,49.5,42.9,2.0,6.600000000000001
33851,44.8,37.0,2.0,7.799999999999997
33853,44.4,36.2,2.0,8.199999999999996
33854,41.4,35.1,2.0,6.299999999999997
33856,41.1,34.3,2.0,6.800000000000004
33858,41.6,33.3,2.0,8.300000000000004
33860,40.2,32.7,2.0,7.5
33885,32.7,24.3,2.0,8.400000000000002
33891,35.7,27.9,2.0,7.800000000000004
33893,35.2,27.9,2.0,7.300000000000004
33896,34.8,28.8,2.0,5.9999999999999964
33897,34.9,29.8,2.0,5.099999999999998
33903,34.9,29.7,2.0,5.199999999999999
33904,35.0,29.8,2.0,5.199999999999999
33906,38.7,31.5,2.0,7.200000000000003
33912,38.0,30.8,2.0,7.199999999999999
33913,38.4,30.8,2.0,7.599999999999998
33915,38.5,30.8,2.0,7.699999999999999
33918,38.5,30.8,2.0,7.699999999999999
33922,27.9,21.8,2.0,6.099999999999998
34977,41.6,33.8,2.0,7.800000000000004
34980,41.8,35.1,2.0,6.699999999999996
34981,42.6,36.0,2.0,6.600000000000001
34983,42.8,36.3,2.0,6.5
34984,44.1,37.1,2.0,7.0
34986,44.5,37.6,2.0,6.899999999999999
35327,37.1,29.9,2.0,7.200000000000003
35358,81.2,75.4,1.0,5.799999999999997
37715,27.8,20.5,,7.300000000000001
39414,33.8,27.9,1.0,5.899999999999999
42297,30.1,23.1,2.0,7.0
42298,28.5,21.6,2.0,6.899999999999999
42299,28.5,22.0,2.0,6.5
42300,26.9,20.4,2.0,6.5
42301,26.9,20.4,2.0,6.5
42302,27.1,20.6,2.0,6.5
42303,27.1,20.6,2.0,6.5
42304,27.1,20.6,2.0,6.5
42305,29.4,22.5,2.0,6.899999999999999
42306,29.4,22.9,2.0,6.5
42307,30.5,23.6,2.0,6.899999999999999
42308,30.5,24.0,2.0,6.5
42309,32.7,26.2,2.0,6.5000000000000036
42310,35.8,28.8,2.0,6.9999999999999964
42311,36.7,30.2,2.0,6.5000000000000036
42312,35.5,29.0,2.0,6.5
42313,34.6,28.1,2.0,6.5
42314,33.2,26.7,2.0,6.5000000000000036
42315,32.0,25.5,2.0,6.5
42316,31.5,24.5,2.0,7.0
42317,28.2,21.7,2.0,6.5
42318,27.2,20.7,2.0,6.5
42319,27.7,21.2,2.0,6.5
42320,27.7,21.2,2.0,6.5
42321,29.9,22.9,2.0,7.0
42322,34.1,27.1,2.0,7.0
44577,45.9,38.3,2.0,7.600000000000001
44578,45.4,37.8,2.0,7.600000000000001
44579,45.0,37.4,2.0,7.600000000000001
44580,44.6,37.0,2.0,7.600000000000001
45790,89.9,82.1,2.0,7.800000000000011
45955,60.4,52.5,2.0,7.899999999999999
45956,62.2,54.6,2.0,7.600000000000001
45957,61.9,54.1,2.0,7.799999999999997
45958,60.0,52.1,2.0,7.899999999999999
45959,58.0,50.2,2.0,7.799999999999997
45960,56.6,48.9,2.0,7.700000000000003
