building_id,ds1_objectid,address,district,region,building_type,usage,completion_date,age_years,latitude,longitude,notice_count,last_update,bad_event,score
1553152,24606,2 YIN TSE LANE RURAL ESTATE HSE A,Tai Po,New Territories,Tower,Residential/Composite,1981-09-08,44.7,22.43919517012108,114.18336450027152,0,,0,0.0
1553179,24607,1 TIN WU RD KINGSWOOD VILLAS LOCWOOD COURT BLK 14,Yuen Long,New Territories,Tower,Residential/Composite,1992-08-04,33.8,22.453493369923137,114.00020309999309,0,,0,0.0
1553466,24608,2 YIN TSE LANE RURAL ESTATE HSE A,Tai Po,New Territories,Tower,Residential/Composite,1981-09-08,44.7,22.439248560172985,114.18351779960688,0,,0,0.0
1553470,24609,41-53 WAI YAN ST TAI WO BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1963-01-14,63.4,22.448536789741127,114.1662672001712,0,,0,0.0
1553536,24610,2 YIN TSE LANE RURAL ESTATE HSE A,Tai Po,New Territories,Tower,Residential/Composite,1981-09-08,44.7,22.439201020210987,114.18377739970732,0,,0,0.0
1553538,24611,9 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473610980162675,114.04500339968718,0,,0,0.0
1553540,24612,11 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473557230381918,114.04497530036986,0,,0,0.0
1553542,24613,2 WAI YAN ST WAI ON BUILDING,Tai Po,New Territories,Tower,Residential/Composite,1977-08-12,48.8,22.44857878987932,114.16550060007272,0,,0,0.0
1553552,24614,2 YIN TSE LANE RURAL ESTATE HSE A,Tai Po,New Territories,Tower,Residential/Composite,1981-09-08,44.7,22.43904987025536,114.1837624997396,0,,0,0.0
1553555,24615,21 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473280929871063,114.04479990019524,0,,0,0.0
1553563,24616,6 WAI YAN ST,Tai Po,New Territories,Tower,Residential/Composite,1981-02-26,45.3,22.448566089653355,114.1655634995559,0,,0,0.0
1553572,24617,23 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.4732266899598,114.04477089975728,0,,0,0.0
1553589,24618,2 YIN TSE LANE RURAL ESTATE HSE A,Tai Po,New Territories,Tower,Residential/Composite,1981-09-08,44.7,22.43890128966285,114.18341120026672,0,,0,0.0
1553591,24619,10 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473692500108825,114.04484729986302,0,,0,0.0
1553596,24620,12 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.47363946978578,114.04481849997389,0,,0,0.0
1553598,24621,2 YIN TSE LANE RURAL ESTATE HSE B,Tai Po,New Territories,Tower,Residential/Composite,1981-09-08,44.7,22.438883039720565,114.18380170028831,0,,0,0.0
1553606,24622,22 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473363820384066,114.04464199992844,0,,0,0.0
1553609,24623,24 FAIRVIEW PARK SECT B 1ST ST FAIRVIEW PARK,Yuen Long,New Territories,Tower,Residential/Composite,1987-06-10,39.0,22.473309870054493,114.04461300038976,0,,0,0.0
1553611,24624,8 WAI YAN ST,Tai Po,New Territories,Tower,Residential/Composite,,,22.4485509198891,114.16563030029818,0,,0,0.0
1553618,24625,18 YIN TSE LANE SEAVIEW VILLAS,Tai Po,New Territories,Tower,Residential/Composite,1992-05-23,34.0,22.4390291696605,114.18406409997829,0,,0,0.0
